time_s,reference_position,reference_velocity,reference_acceleration
0.00,0.000,0.000,0.000
0.05,0.025,0.500,0.000
0.10,0.050,0.500,0.000
0.15,0.075,0.500,0.000
0.20,0.100,0.500,0.000
0.25,0.125,0.500,0.000
0.30,0.150,0.500,0.000
0.35,0.175,0.500,0.000
0.40,0.200,0.500,0.000
0.45,0.225,0.500,0.000
0.50,0.250,0.500,0.000
0.55,0.275,0.500,0.000
0.60,0.300,0.500,0.000
0.65,0.325,0.500,0.000
0.70,0.350,0.500,0.000
0.75,0.375,0.500,0.000
0.80,0.400,0.500,0.000
0.85,0.425,0.500,0.000
0.90,0.450,0.500,0.000
0.95,0.475,0.500,0.000
1.00,0.500,0.000,0.000
